temps_id,date,annee,mois,jour
38,2010-02-07,2010,2,7
61,2010-03-02,2010,3,2
194,2010-07-13,2010,7,13
230,2010-08-18,2010,8,18
407,2011-02-11,2011,2,11
532,2011-06-16,2011,6,16
557,2011-07-11,2011,7,11
585,2011-08-08,2011,8,8
588,2011-08-11,2011,8,11
677,2011-11-08,2011,11,8
744,2012-01-14,2012,1,14
811,2012-03-21,2012,3,21
849,2012-04-28,2012,4,28
927,2012-07-15,2012,7,15
941,2012-07-29,2012,7,29
943,2012-07-31,2012,7,31
997,2012-09-23,2012,9,23
1007,2012-10-03,2012,10,3
1012,2012-10-08,2012,10,8
1018,2012-10-14,2012,10,14
1079,2012-12-14,2012,12,14
1111,2013-01-15,2013,1,15
1145,2013-02-18,2013,2,18
1168,2013-03-13,2013,3,13
1181,2013-03-26,2013,3,26
1228,2013-05-12,2013,5,12
1264,2013-06-17,2013,6,17
1364,2013-09-25,2013,9,25
1380,2013-10-11,2013,10,11
1607,2014-05-26,2014,5,26
1613,2014-06-01,2014,6,1
1709,2014-09-05,2014,9,5
1714,2014-09-10,2014,9,10
1865,2015-02-08,2015,2,8
1992,2015-06-15,2015,6,15
2016,2015-07-09,2015,7,9
2020,2015-07-13,2015,7,13
2142,2015-11-12,2015,11,12
2259,2016-03-08,2016,3,8
2432,2016-08-28,2016,8,28
2461,2016-09-26,2016,9,26
2531,2016-12-05,2016,12,5
2532,2016-12-06,2016,12,6
2568,2017-01-11,2017,1,11
2576,2017-01-19,2017,1,19
2619,2017-03-03,2017,3,3
2761,2017-07-23,2017,7,23
2800,2017-08-31,2017,8,31
2817,2017-09-17,2017,9,17
2847,2017-10-17,2017,10,17
2864,2017-11-03,2017,11,3
2875,2017-11-14,2017,11,14
2904,2017-12-13,2017,12,13
3110,2018-07-07,2018,7,7
3148,2018-08-14,2018,8,14
3254,2018-11-28,2018,11,28
3303,2019-01-16,2019,1,16
3399,2019-04-22,2019,4,22
3575,2019-10-15,2019,10,15
3600,2019-11-09,2019,11,9
3711,2020-02-28,2020,2,28
3817,2020-06-13,2020,6,13
3819,2020-06-15,2020,6,15
3919,2020-09-23,2020,9,23
4013,2020-12-26,2020,12,26
4110,2021-04-02,2021,4,2
4221,2021-07-22,2021,7,22
4289,2021-09-28,2021,9,28
4413,2022-01-30,2022,1,30
4428,2022-02-14,2022,2,14
4431,2022-02-17,2022,2,17
4460,2022-03-18,2022,3,18
4476,2022-04-03,2022,4,3
4509,2022-05-06,2022,5,6
4552,2022-06-18,2022,6,18
4617,2022-08-22,2022,8,22
4629,2022-09-03,2022,9,3
4666,2022-10-10,2022,10,10
4727,2022-12-10,2022,12,10
4734,2022-12-17,2022,12,17
4737,2022-12-20,2022,12,20
4768,2023-01-20,2023,1,20
4836,2023-03-29,2023,3,29
4923,2023-06-24,2023,6,24
4930,2023-07-01,2023,7,1
4960,2023-07-31,2023,7,31
4986,2023-08-26,2023,8,26
5092,2023-12-10,2023,12,10
5105,2023-12-23,2023,12,23
5259,2024-05-25,2024,5,25
5432,2024-11-14,2024,11,14
5475,2024-12-27,2024,12,27
5517,2025-02-07,2025,2,7
5553,2025-03-15,2025,3,15
5604,2025-05-05,2025,5,5
5640,2025-06-10,2025,6,10
5720,2025-08-29,2025,8,29
5793,2025-11-10,2025,11,10
5817,2025-12-04,2025,12,4
5884,2026-02-09,2026,2,9
5943,2026-04-09,2026,4,9
6025,2026-06-30,2026,6,30
6044,2026-07-19,2026,7,19
6136,2026-10-19,2026,10,19
6189,2026-12-11,2026,12,11
6194,2026-12-16,2026,12,16
6205,2026-12-27,2026,12,27
6374,2027-06-14,2027,6,14
6442,2027-08-21,2027,8,21
6499,2027-10-17,2027,10,17
6532,2027-11-19,2027,11,19
6547,2027-12-04,2027,12,4
6615,2028-02-10,2028,2,10
6620,2028-02-15,2028,2,15
6633,2028-02-28,2028,2,28
6765,2028-07-09,2028,7,9
6772,2028-07-16,2028,7,16
6778,2028-07-22,2028,7,22
6799,2028-08-12,2028,8,12
6916,2028-12-07,2028,12,7
6944,2029-01-04,2029,1,4
6962,2029-01-22,2029,1,22
7030,2029-03-31,2029,3,31
7128,2029-07-07,2029,7,7
7161,2029-08-09,2029,8,9
7193,2029-09-10,2029,9,10
7207,2029-09-24,2029,9,24
7218,2029-10-05,2029,10,5
7226,2029-10-13,2029,10,13
7259,2029-11-15,2029,11,15
7349,2030-02-13,2030,2,13
7365,2030-03-01,2030,3,1
7376,2030-03-12,2030,3,12
7378,2030-03-14,2030,3,14
7386,2030-03-22,2030,3,22
7464,2030-06-08,2030,6,8
7611,2030-11-02,2030,11,2
7758,2031-03-29,2031,3,29
7819,2031-05-29,2031,5,29
7865,2031-07-14,2031,7,14
7901,2031-08-19,2031,8,19
7980,2031-11-06,2031,11,6
8045,2032-01-10,2032,1,10
8143,2032-04-17,2032,4,17
8162,2032-05-06,2032,5,6
8175,2032-05-19,2032,5,19
8180,2032-05-24,2032,5,24
8214,2032-06-27,2032,6,27
8261,2032-08-13,2032,8,13
8292,2032-09-13,2032,9,13
8361,2032-11-21,2032,11,21
8400,2032-12-30,2032,12,30
8422,2033-01-21,2033,1,21
8439,2033-02-07,2033,2,7
8596,2033-07-14,2033,7,14
8598,2033-07-16,2033,7,16
8619,2033-08-06,2033,8,6
8638,2033-08-25,2033,8,25
8747,2033-12-12,2033,12,12
8760,2033-12-25,2033,12,25
8779,2034-01-13,2034,1,13
8949,2034-07-02,2034,7,2
9023,2034-09-14,2034,9,14
9052,2034-10-13,2034,10,13
9061,2034-10-22,2034,10,22
9067,2034-10-28,2034,10,28
9076,2034-11-06,2034,11,6
9082,2034-11-12,2034,11,12
9087,2034-11-17,2034,11,17
9259,2035-05-08,2035,5,8
9350,2035-08-07,2035,8,7
9392,2035-09-18,2035,9,18
9463,2035-11-28,2035,11,28
67,2010-03-08,2010,3,8
100,2010-04-10,2010,4,10
157,2010-06-06,2010,6,6
170,2010-06-19,2010,6,19
204,2010-07-23,2010,7,23
223,2010-08-11,2010,8,11
323,2010-11-19,2010,11,19
347,2010-12-13,2010,12,13
357,2010-12-23,2010,12,23
372,2011-01-07,2011,1,7
395,2011-01-30,2011,1,30
642,2011-10-04,2011,10,4
695,2011-11-26,2011,11,26
749,2012-01-19,2012,1,19
761,2012-01-31,2012,1,31
765,2012-02-04,2012,2,4
781,2012-02-20,2012,2,20
909,2012-06-27,2012,6,27
925,2012-07-13,2012,7,13
972,2012-08-29,2012,8,29
999,2012-09-25,2012,9,25
1011,2012-10-07,2012,10,7
1038,2012-11-03,2012,11,3
1140,2013-02-13,2013,2,13
1273,2013-06-26,2013,6,26
1446,2013-12-16,2013,12,16
1457,2013-12-27,2013,12,27
1634,2014-06-22,2014,6,22
1636,2014-06-24,2014,6,24
1765,2014-10-31,2014,10,31
1771,2014-11-06,2014,11,6
1779,2014-11-14,2014,11,14
1815,2014-12-20,2014,12,20
1825,2014-12-30,2014,12,30
1828,2015-01-02,2015,1,2
1830,2015-01-04,2015,1,4
1854,2015-01-28,2015,1,28
1874,2015-02-17,2015,2,17
1911,2015-03-26,2015,3,26
1967,2015-05-21,2015,5,21
1999,2015-06-22,2015,6,22
2051,2015-08-13,2015,8,13
2106,2015-10-07,2015,10,7
2107,2015-10-08,2015,10,8
2124,2015-10-25,2015,10,25
2152,2015-11-22,2015,11,22
2156,2015-11-26,2015,11,26
2183,2015-12-23,2015,12,23
2184,2015-12-24,2015,12,24
2238,2016-02-16,2016,2,16
2255,2016-03-04,2016,3,4
2424,2016-08-20,2016,8,20
2452,2016-09-17,2016,9,17
2458,2016-09-23,2016,9,23
2459,2016-09-24,2016,9,24
2500,2016-11-04,2016,11,4
2516,2016-11-20,2016,11,20
2557,2016-12-31,2016,12,31
2590,2017-02-02,2017,2,2
2601,2017-02-13,2017,2,13
2606,2017-02-18,2017,2,18
2630,2017-03-14,2017,3,14
2695,2017-05-18,2017,5,18
2985,2018-03-04,2018,3,4
3040,2018-04-28,2018,4,28
3051,2018-05-09,2018,5,9
3069,2018-05-27,2018,5,27
3134,2018-07-31,2018,7,31
3261,2018-12-05,2018,12,5
3279,2018-12-23,2018,12,23
3312,2019-01-25,2019,1,25
3329,2019-02-11,2019,2,11
3406,2019-04-29,2019,4,29
3501,2019-08-02,2019,8,2
3506,2019-08-07,2019,8,7
3530,2019-08-31,2019,8,31
3540,2019-09-10,2019,9,10
3565,2019-10-05,2019,10,5
3605,2019-11-14,2019,11,14
3666,2020-01-14,2020,1,14
3732,2020-03-20,2020,3,20
3742,2020-03-30,2020,3,30
3773,2020-04-30,2020,4,30
3786,2020-05-13,2020,5,13
3815,2020-06-11,2020,6,11
3861,2020-07-27,2020,7,27
3931,2020-10-05,2020,10,5
4021,2021-01-03,2021,1,3
4128,2021-04-20,2021,4,20
4226,2021-07-27,2021,7,27
4228,2021-07-29,2021,7,29
4331,2021-11-09,2021,11,9
4332,2021-11-10,2021,11,10
4446,2022-03-04,2022,3,4
4479,2022-04-06,2022,4,6
4483,2022-04-10,2022,4,10
4539,2022-06-05,2022,6,5
4694,2022-11-07,2022,11,7
4698,2022-11-11,2022,11,11
4707,2022-11-20,2022,11,20
